台灣頻道,#genre#
民視台灣,https://tv.iill.top/litv/4gtv-4gtv001&token=7dc56b7836ba34da0801979f53829b41b766cbd8791cafa0fb887c09c5dd03f0
民視,https://tv.iill.top/litv/4gtv-4gtv002&token=7dc56b7836ba34da0801979f53829b41b766cbd8791cafa0fb887c09c5dd03f0
民視第一,https://tv.iill.top/litv/4gtv-4gtv003&token=7dc56b7836ba34da0801979f53829b41b766cbd8791cafa0fb887c09c5dd03f0
民視綜藝,https://tv.iill.top/litv/4gtv-4gtv004&token=7dc56b7836ba34da0801979f53829b41b766cbd8791cafa0fb887c09c5dd03f0
豬哥亮歌廳秀,https://tv.iill.top/litv/4gtv-4gtv006&token=7dc56b7836ba34da0801979f53829b41b766cbd8791cafa0fb887c09c5dd03f0
中天新聞,https://tv.iill.top/litv/4gtv-4gtv009&token=7dc56b7836ba34da0801979f53829b41b766cbd8791cafa0fb887c09c5dd03f0
非凡新聞,https://tv.iill.top/litv/4gtv-4gtv010&token=7dc56b7836ba34da0801979f53829b41b766cbd8791cafa0fb887c09c5dd03f0
影迷數位電影,https://tv.iill.top/litv/4gtv-4gtv011&token=7dc56b7836ba34da0801979f53829b41b766cbd8791cafa0fb887c09c5dd03f0
視納華仁紀實頻道,https://tv.iill.top/litv/4gtv-4gtv013&token=7dc56b7836ba34da0801979f53829b41b766cbd8791cafa0fb887c09c5dd03f0
時尚運動X,https://tv.iill.top/litv/4gtv-4gtv014&token=7dc56b7836ba34da0801979f53829b41b766cbd8791cafa0fb887c09c5dd03f0
韓國娛樂台 KMTV,https://tv.iill.top/litv/4gtv-4gtv016&token=7dc56b7836ba34da0801979f53829b41b766cbd8791cafa0fb887c09c5dd03f0
AMC 最愛電影,https://tv.iill.top/litv/4gtv-4gtv017&token=7dc56b7836ba34da0801979f53829b41b766cbd8791cafa0fb887c09c5dd03f0
達文西頻道,https://tv.iill.top/litv/4gtv-4gtv018&token=7dc56b7836ba34da0801979f53829b41b766cbd8791cafa0fb887c09c5dd03f0
