台灣頻道,#genre#
民视第一台,http://74.91.26.218:82/live/ftvdy.m3u8
民视台湾台,http://74.91.26.218:82/live/ftvtw.m3u8
民视,http://74.91.26.218:82/live/ftv.m3u8
台视,http://74.91.26.218:82/live/ttv.m3u8
中视,http://74.91.26.218:82/live/ctv.m3u8
中视经典,http://74.91.26.218:82/live/ctvjd.m3u8
华视,http://74.91.26.218:82/live/cts.m3u8
中视菁采台,http://74.91.26.218:82/live/ctvjc.m3u8
台视新闻台,http://74.91.26.218:82/live/ttvnews.m3u8
华视新闻,http://74.91.26.218:82/live/ctsnews.m3u8
民视新闻台,http://74.91.26.218:82/live/ftvnews.m3u8
中视新闻,http://74.91.26.218:82/live/ctvnews.m3u8
公视,http://74.91.26.218:82/live/ptsty.m3u8
公视,http://74.91.26.218:82/live/pts.m3u8
台视财经台,http://74.91.26.218:82/live/ttvcj.m3u8
广东新闻,http://74.91.26.218:82/live/gdxw.m3u8
大陸頻道,#genre#
CCTV1,http://74.91.26.218:82/live/cctv1hd.m3u8
CCTV2,http://74.91.26.218:82/live/cctv2hd.m3u8
CCTV3,http://74.91.26.218:82/live/cctv3hd.m3u8
CCTV4,http://74.91.26.218:82/live/cctv4hd.m3u8
CCTV5,http://74.91.26.218:82/live/cctv5hd.m3u8
CCTV5+,http://74.91.26.218:82/live/cctv5p.m3u8
CCTV6,http://74.91.26.218:82/live/cctv6hd.m3u8
CCTV7,http://74.91.26.218:82/live/cctv7hd.m3u8
CCTV8,http://74.91.26.218:82/live/cctv8hd.m3u8
CCTV9,http://74.91.26.218:82/live/cctv9hd.m3u8
CCTV10,http://74.91.26.218:82/live/cctv10hd.m3u8
CCTV11,http://74.91.26.218:82/live/cctv11hd.m3u8
CCTV12,http://74.91.26.218:82/live/cctv12hd.m3u8
CCTV13,http://74.91.26.218:82/live/cctv13hd.m3u8
CCTV14,http://74.91.26.218:82/live/cctv14hd.m3u8
CCTV15,http://74.91.26.218:82/live/cctv15hd.m3u8
CCTV16,http://74.91.26.218:82/live/cctv16hd.m3u8
CCTV17,http://74.91.26.218:82/live/cctv17hd.m3u8
湖南卫视,http://74.91.26.218:82/live/hnwshd.m3u8
浙江卫视,http://74.91.26.218:82/live/zjwshd.m3u8
江苏卫视,http://74.91.26.218:82/live/jswshd.m3u8
东方卫视,http://74.91.26.218:82/live/dfwshd.m3u8
广东卫视,http://74.91.26.218:82/live/gdwshd.m3u8
深圳卫视,http://74.91.26.218:82/live/szwshd.m3u8
广东体育,http://74.91.26.218:82/live/cctv5p.m3u8
大湾区卫视,http://74.91.26.218:82/live/nfws.m3u8
BOT頻道,#genre#
民视第一台,https://ha.msbot.dpdns.org/4gtv_api.php?id=1
民视台湾台,https://ha.msbot.dpdns.org/4gtv_api.php?id=2
民视,https://ha.msbot.dpdns.org/4gtv_api.php?id=3
中视,https://ha.msbot.dpdns.org/4gtv_api.php?id=4
华视,https://ha.msbot.dpdns.org/4gtv_api.php?id=6
三立综合台,https://ha.msbot.dpdns.org/4gtv_api.php?id=169
八大综合台,https://ha.msbot.dpdns.org/4gtv_api.php?id=114
TVBS精采台,https://ha.msbot.dpdns.org/4gtv_api.php?id=227
靖天综合台,https://ha.msbot.dpdns.org/4gtv_api.php?id=21
靖天日本台,https://ha.msbot.dpdns.org/4gtv_api.php?id=22
LiveABC互动英语频道,https://ha.msbot.dpdns.org/4gtv_api.php?id=188
ELTV生活英语台,https://ha.msbot.dpdns.org/4gtv_api.php?id=490
Nick Jr. 儿童频道,https://ha.msbot.dpdns.org/4gtv_api.php?id=219
尼克儿童频道,https://ha.msbot.dpdns.org/4gtv_api.php?id=185
DreamWorks 梦工厂动画,https://ha.msbot.dpdns.org/4gtv_api.php?id=282
靖天卡通台,https://ha.msbot.dpdns.org/4gtv_api.php?id=15
靖洋卡通Nice Bingo,https://ha.msbot.dpdns.org/4gtv_api.php?id=59
MOMO亲子台,https://ha.msbot.dpdns.org/4gtv_api.php?id=231
东森新闻台,https://ha.msbot.dpdns.org/4gtv_api.php?id=292
华视新闻,https://ha.msbot.dpdns.org/4gtv_api.php?id=34
民视新闻台,https://ha.msbot.dpdns.org/4gtv_api.php?id=257
三立新闻台,https://ha.msbot.dpdns.org/4gtv_api.php?id=229
TVBS新闻台,https://ha.msbot.dpdns.org/4gtv_api.php?id=473
东森财经新闻台,https://ha.msbot.dpdns.org/4gtv_api.php?id=211
中视新闻,https://ha.msbot.dpdns.org/4gtv_api.php?id=33
中天新闻台,https://ha.msbot.dpdns.org/4gtv_api.php?id=30
寰宇新闻,https://ha.msbot.dpdns.org/4gtv_api.php?id=36
寰宇新闻台湾台,https://ha.msbot.dpdns.org/4gtv_api.php?id=280
TVBS,https://ha.msbot.dpdns.org/4gtv_api.php?id=183
民视综艺台,https://ha.msbot.dpdns.org/4gtv_api.php?id=16
靖天育乐台,https://ha.msbot.dpdns.org/4gtv_api.php?id=83
靖天国际,https://ha.msbot.dpdns.org/4gtv_api.php?id=84
靖天欢乐台,https://ha.msbot.dpdns.org/4gtv_api.php?id=119
靖天资讯台,https://ha.msbot.dpdns.org/4gtv_api.php?id=88
TVBS欢乐台,https://ha.msbot.dpdns.org/4gtv_api.php?id=184
Mezzo Live,https://ha.msbot.dpdns.org/4gtv_api.php?id=79
CLASSICA 古典乐,https://ha.msbot.dpdns.org/4gtv_api.php?id=80
博斯高球台,https://ha.msbot.dpdns.org/4gtv_api.php?id=486
博斯运动一台,https://ha.msbot.dpdns.org/4gtv_api.php?id=487
博斯无限台,https://ha.msbot.dpdns.org/4gtv_api.php?id=266
博斯网球台,https://ha.msbot.dpdns.org/4gtv_api.php?id=488
博斯运动二台,https://ha.msbot.dpdns.org/4gtv_api.php?id=495
博斯魅力,https://ha.msbot.dpdns.org/4gtv_api.php?id=493
博斯无限二台,https://ha.msbot.dpdns.org/4gtv_api.php?id=496
智林体育台,https://ha.msbot.dpdns.org/4gtv_api.php?id=58
Pet Club TV,https://ha.msbot.dpdns.org/4gtv_api.php?id=19
民视旅游台,https://ha.msbot.dpdns.org/4gtv_api.php?id=61
滚动力rollor,https://ha.msbot.dpdns.org/4gtv_api.php?id=249
亚洲旅游,https://ha.msbot.dpdns.org/4gtv_api.php?id=250
fun探索娱乐台,https://ha.msbot.dpdns.org/4gtv_api.php?id=274
History 历史频道,https://ha.msbot.dpdns.org/4gtv_api.php?id=214
爱尔达综合,https://ha.msbot.dpdns.org/4gtv_api.php?id=237
TV5MONDE STYLE  生活时尚,https://ha.msbot.dpdns.org/4gtv_api.php?id=178
公视,https://ha.msbot.dpdns.org/4gtv_api.php?id=337
民视影剧台,https://ha.msbot.dpdns.org/4gtv_api.php?id=24
HITS频道,https://ha.msbot.dpdns.org/4gtv_api.php?id=186
八大精彩台,https://ha.msbot.dpdns.org/4gtv_api.php?id=172
靖天戏剧台,https://ha.msbot.dpdns.org/4gtv_api.php?id=116
靖洋戏剧台,https://ha.msbot.dpdns.org/4gtv_api.php?id=118
CI 罪案侦查频道,https://ha.msbot.dpdns.org/4gtv_api.php?id=215
视纳华仁纪实频道,https://ha.msbot.dpdns.org/4gtv_api.php?id=38
影迷数位纪实台,https://ha.msbot.dpdns.org/4gtv_api.php?id=445
金光布袋戏,https://ha.msbot.dpdns.org/4gtv_api.php?id=236
采昌影剧台,https://ha.msbot.dpdns.org/4gtv_api.php?id=25
靖天映画,https://ha.msbot.dpdns.org/4gtv_api.php?id=42
靖天电影台,https://ha.msbot.dpdns.org/4gtv_api.php?id=82
影迷数位电影台,https://ha.msbot.dpdns.org/4gtv_api.php?id=40
amc电影台,https://ha.msbot.dpdns.org/4gtv_api.php?id=39
CinemaWorld,https://ha.msbot.dpdns.org/4gtv_api.php?id=225
My Cinema Europe  我的欧洲电影,https://ha.msbot.dpdns.org/4gtv_api.php?id=463
