四季頻道,#genre#
民视台湾台,http://192.168.1.249:5050/4gtv-4gtv001/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
民视,http://192.168.1.249:5050/4gtv-4gtv002/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
民视第一台,http://192.168.1.249:5050/4gtv-4gtv003/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
民视综艺台,http://192.168.1.249:5050/4gtv-4gtv004/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
猪哥亮歌厅秀,http://192.168.1.249:5050/4gtv-4gtv006/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
中天新闻台,http://192.168.1.249:5050/4gtv-4gtv009/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
影迷数位电影台,http://192.168.1.249:5050/4gtv-4gtv011/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
视纳华仁纪实频道,http://192.168.1.249:5050/4gtv-4gtv013/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
时尚运动X,http://192.168.1.249:5050/4gtv-4gtv014/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
韩国娱乐台,http://192.168.1.249:5050/4gtv-4gtv016/index.m3u8?token=8GAIcWDJCfPwAvVMWlQn79FO8EJpSCwpSNjJuQpkAKntZm2NP114XA0QgODDNRcQ&proxy=true
