台灣頻道,#genre#
民視台灣,https://tv.iill.top/litv/4gtv-4gtv001&token=key
民視,https://tv.iill.top/litv/4gtv-4gtv002&token=key
民視第一,https://tv.iill.top/litv/4gtv-4gtv003&token=key
民視綜藝,https://tv.iill.top/litv/4gtv-4gtv004&token=key
豬哥亮歌廳秀,https://tv.iill.top/litv/4gtv-4gtv006&token=key
中天新聞,https://tv.iill.top/litv/4gtv-4gtv009&token=key
非凡新聞,https://tv.iill.top/litv/4gtv-4gtv010&token=key
影迷數位電影,https://tv.iill.top/litv/4gtv-4gtv011&token=key
視納華仁紀實頻道,https://tv.iill.top/litv/4gtv-4gtv013&token=key
時尚運動X,https://tv.iill.top/litv/4gtv-4gtv014&token=key
韓國娛樂台 KMTV,https://tv.iill.top/litv/4gtv-4gtv016&token=key
AMC 最愛電影,https://tv.iill.top/litv/4gtv-4gtv017&token=key
達文西頻道,https://tv.iill.top/litv/4gtv-4gtv018&token=key
八大精彩,https://tv.iill.top/litv/4gtv-4gtv034&token=key
八大綜藝,https://tv.iill.top/litv/4gtv-4gtv039&token=key
中視,https://tv.iill.top/litv/4gtv-4gtv040&token=key
華視,https://tv.iill.top/litv/4gtv-4gtv041&token=key
公視戲劇,https://tv.iill.top/litv/4gtv-4gtv042&token=key
客家電視,https://tv.iill.top/litv/4gtv-4gtv043&token=key
靖天卡通,https://tv.iill.top/litv/4gtv-4gtv044&token=key
靖洋戲劇,https://tv.iill.top/litv/4gtv-4gtv045&token=key
靖天綜合,https://tv.iill.top/litv/4gtv-4gtv046&token=key
靖天日本,https://tv.iill.top/litv/4gtv-4gtv047&token=key
非凡商業,https://tv.iill.top/litv/4gtv-4gtv048&token=key
采昌影劇,https://tv.iill.top/litv/4gtv-4gtv049&token=key
台視新聞,https://tv.iill.top/litv/4gtv-4gtv051&token=key
華視新聞,https://tv.iill.top/litv/4gtv-4gtv052&token=key
Ginx TV 電競頻道,https://tv.iill.top/litv/4gtv-4gtv053&token=key
靖天歡樂,https://tv.iill.top/litv/4gtv-4gtv054&token=key
靖天映畫,https://tv.iill.top/litv/4gtv-4gtv055&token=key
台視財經,https://tv.iill.top/litv/4gtv-4gtv056&token=key
靖洋卡通,https://tv.iill.top/litv/4gtv-4gtv057&token=key
靖天戲劇,https://tv.iill.top/litv/4gtv-4gtv058&token=key
Classica 古典樂,https://tv.iill.top/litv/4gtv-4gtv059&token=key
靖天電影,https://tv.iill.top/litv/4gtv-4gtv061&token=key
靖天育樂,https://tv.iill.top/litv/4gtv-4gtv062&token=key
靖天國際,https://tv.iill.top/litv/4gtv-4gtv063&token=key
中視菁采,https://tv.iill.top/litv/4gtv-4gtv064&token=key
靖天資訊,https://tv.iill.top/litv/4gtv-4gtv065&token=key
台視,https://tv.iill.top/litv/4gtv-4gtv066&token=key
TVBS 精采,https://tv.iill.top/litv/4gtv-4gtv067&token=key
TVBS 歡樂,https://tv.iill.top/litv/4gtv-4gtv068&token=key
愛爾達娛樂,https://tv.iill.top/litv/4gtv-4gtv070&token=key
TVBS 新聞,https://tv.iill.top/litv/4gtv-4gtv072&token=key
TVBS,https://tv.iill.top/litv/4gtv-4gtv073&token=key
中視新聞,https://tv.iill.top/litv/4gtv-4gtv074&token=key
鏡電視新聞,https://tv.iill.top/litv/4gtv-4gtv075&token=key
亞洲旅遊,https://tv.iill.top/litv/4gtv-4gtv076&token=key
Trace Sports,https://tv.iill.top/litv/4gtv-4gtv077&token=key
Arirang TV,https://tv.iill.top/litv/4gtv-4gtv079&token=key
中視經典,https://tv.iill.top/litv/4gtv-4gtv080&token=key
Trace Urban,https://tv.iill.top/litv/4gtv-4gtv082&token=key
Mezzo Live,https://tv.iill.top/litv/4gtv-4gtv083&token=key
國會頻道 1,https://tv.iill.top/litv/4gtv-4gtv084&token=key
國會頻道 2,https://tv.iill.top/litv/4gtv-4gtv085&token=key
智林體育,https://tv.iill.top/litv/4gtv-4gtv101&token=key
第1商業,https://tv.iill.top/litv/4gtv-4gtv104&token=key
中天亞洲,https://tv.iill.top/litv/4gtv-4gtv109&token=key
Pet Club TV,https://tv.iill.top/litv/4gtv-4gtv110&token=key
東森新聞,https://tv.iill.top/litv/4gtv-4gtv152&token=key
東森財經,https://tv.iill.top/litv/4gtv-4gtv153&token=key
寰宇新聞台灣,https://tv.iill.top/litv/4gtv-4gtv156&token=key
寰宇財經,https://tv.iill.top/litv/4gtv-4gtv158&token=key
VOA 美國之音,https://tv.iill.top/litv/litv-ftv03&token=key
民視旅遊,https://tv.iill.top/litv/litv-ftv07&token=key
民視影劇,https://tv.iill.top/litv/litv-ftv09&token=key
MCE 我的歐洲電影,https://tv.iill.top/litv/litv-ftv10&token=key
民視新聞,https://tv.iill.top/litv/litv-ftv13&token=key
